restaurant_id,name,neighbourhood,cuisine_type,price_range,avg_rating,tags,lat,lng,ttc_accessible,halal_certified,kosher_certified
R0044,James's Taiwanese Bar,Waterfront,Taiwanese,2,3.7,family-friendly|vegan-friendly|quick-bites|hidden-gem|cash-only|brunch,43.779618,-79.384379,True,False,False
R0045,Bridges's Mexican Corner,The Annex,Mexican,2,3.0,dine-in|cash-only|group-friendly|outdoor-seating|sports-bar|family-friendly,43.747604,-79.454262,True,False,False
R0046,Barnes's Chinese Kitchen,Little India,Chinese,2,3.5,family-friendly|sports-bar|cash-only,43.683643,-79.331993,False,False,False
R0047,Castro's Portuguese Kitchen,Queen West,Portuguese,4,3.6,group-friendly|BYOB,43.668672,-79.489756,True,False,False
R0048,Hall's Taiwanese Kitchen,Liberty Village,Taiwanese,1,4.5,cash-only|sports-bar|trendy|takeout-only,43.64744,-79.536566,False,False,False
R0049,Maddox's Italian Kitchen,Little Italy,Italian,2,4.1,BYOB|romantic|live-music,43.728094,-79.347794,True,False,False
R0050,Huerta's Middle Eastern Bar,Danforth,Middle Eastern,1,2.8,live-music|romantic|hidden-gem|sports-bar|patio,43.718837,-79.413856,False,True,False
R0051,Huang's Japanese Table,Koreatown,Japanese,2,4.1,hidden-gem|trendy,43.659548,-79.518982,True,False,False
R0052,Bailey's Greek Kitchen,Financial District,Greek,2,3.7,family-friendly|hidden-gem|vegetarian-friendly|quick-bites|BYOB|trendy,43.669682,-79.465925,True,False,False
R0053,Rivas's Portuguese Corner,Queen West,Portuguese,1,3.5,delivery|brunch|outdoor-seating|cash-only,43.704656,-79.408765,True,False,False
R0054,Smith's Japanese Kitchen,Financial District,Japanese,3,4.3,brunch|romantic,43.772113,-79.378944,True,False,False
R0055,Thomas's Chinese Garden,North York,Chinese,3,4.5,cash-only|dine-in,43.7041,-79.312011,False,False,False
R0056,Gregory's Ethiopian Table,The Annex,Ethiopian,3,4.5,vegan-friendly|takeout-only|brunch|romantic|vegetarian-friendly,43.768306,-79.385973,False,True,False
R0057,Adams's Greek Table,Distillery District,Greek,4,3.4,trendy|patio|family-friendly|brunch|BYOB,43.661889,-79.438702,True,True,False
R0058,Mann's French House,Waterfront,French,3,3.7,hidden-gem|vegan-friendly|quick-bites|vegetarian-friendly|trendy|patio,43.656924,-79.385765,True,False,False
R0059,Hall's Portuguese Grill,Liberty Village,Portuguese,2,4.1,family-friendly|outdoor-seating|BYOB|vegan-friendly|brunch,43.671434,-79.385646,False,False,False
R0060,Kennedy's Ethiopian Grill,Queen West,Ethiopian,2,4.5,BYOB|trendy|group-friendly|cash-only|dine-in,43.772371,-79.377621,True,True,False
R0061,Vincent's Canadian Grill,North York,Canadian,4,3.6,patio|takeout-only|cash-only|delivery|outdoor-seating,43.695105,-79.300316,False,False,False
R0062,Estrada's Thai Bar,North York,Thai,4,3.8,vegetarian-friendly|outdoor-seating|trendy|late-night|BYOB,43.686439,-79.511898,True,False,False
R0063,Delgado's Middle Eastern Garden,The Annex,Middle Eastern,4,3.2,delivery|takeout-only|cash-only|patio|vegan-friendly|vegetarian-friendly,43.740472,-79.301506,False,True,True
R0064,Nash's Caribbean Kitchen,Forest Hill,Caribbean,2,3.2,late-night|patio|takeout-only|romantic,43.647086,-79.493418,True,False,False
R0065,Howe's French Garden,Greektown,French,3,4.4,sports-bar|quick-bites|cash-only|BYOB|romantic,43.659762,-79.369342,True,False,False
R0066,Henderson's Ethiopian Garden,Scarborough,Ethiopian,2,4.7,romantic|live-music|hidden-gem|brunch,43.656856,-79.416316,True,True,False
R0067,Callahan's Vietnamese Kitchen,North York,Vietnamese,3,3.9,delivery|brunch,43.680298,-79.344202,False,False,False
R0068,Knight's American Corner,Cabbagetown,American,2,4.5,sports-bar|dine-in|quick-bites,43.783706,-79.459866,False,False,False
R0069,Morse's Chinese Kitchen,Chinatown,Chinese,2,4.1,trendy|patio|dine-in|BYOB,43.783579,-79.359025,True,False,False
R0070,Delgado's Vietnamese Garden,Yorkville,Vietnamese,3,3.5,brunch|cash-only|live-music,43.720245,-79.284224,True,False,False
R0071,Thomas's Indian Kitchen,Financial District,Indian,2,4.1,dine-in|vegan-friendly|delivery|late-night|brunch|cash-only,43.753117,-79.265616,False,True,False
R0072,Daniels's Caribbean Corner,Yorkville,Caribbean,2,4.8,sports-bar|group-friendly,43.648419,-79.47453,True,False,False
R0073,Lopez's Mexican Kitchen,Leslieville,Mexican,2,3.9,live-music|cash-only,43.649835,-79.527303,True,False,False
R0074,Brown's Pizza Garden,Waterfront,Pizza,1,4.8,hidden-gem|vegetarian-friendly|cash-only,43.790816,-79.422645,True,False,False
R0075,Russell's West African Grill,Chinatown,West African,3,2.3,patio|delivery|brunch|family-friendly,43.796758,-79.437146,True,True,False
R0076,Warner's Pizza Corner,Distillery District,Pizza,2,4.4,romantic|family-friendly|vegan-friendly,43.763755,-79.471801,True,False,False
R0077,Watkins's Chinese Bistro,Thorncliffe Park,Chinese,3,4.0,BYOB|group-friendly|brunch,43.731317,-79.462363,True,True,False
R0078,Walker's Indian Table,King West,Indian,2,3.7,hidden-gem|outdoor-seating|vegetarian-friendly,43.632683,-79.465697,True,False,False
R0079,Bates's Indian Bar,Etobicoke,Indian,1,4.0,live-music|trendy|late-night|patio|cash-only|hidden-gem,43.637372,-79.320696,False,True,False
R0080,Cooper's Mexican Table,Little Portugal,Mexican,1,2.7,group-friendly|takeout-only|delivery|outdoor-seating|live-music|quick-bites,43.641166,-79.462996,True,False,False
R0081,Chapman's French Bar,Bloor West Village,French,2,3.8,hidden-gem|takeout-only|trendy,43.777134,-79.41958,True,False,False
R0082,Cox's Chinese Garden,Liberty Village,Chinese,3,4.1,hidden-gem|vegetarian-friendly,43.641413,-79.307104,True,False,False
R0083,Grant's Mexican House,Chinatown,Mexican,2,4.8,patio|live-music|romantic|dine-in|vegetarian-friendly,43.699837,-79.29539,True,False,False
R0084,Cochran's Vietnamese Kitchen,Chinatown,Vietnamese,2,3.6,group-friendly|sports-bar|late-night|brunch|romantic,43.759643,-79.379252,True,False,False
R0085,Adams's Taiwanese Kitchen,North York,Taiwanese,2,3.4,vegan-friendly|outdoor-seating,43.741749,-79.520516,True,False,False
R0086,Alvarez's French Kitchen,North York,French,4,3.6,date-night|patio|vegan-friendly,43.731358,-79.292664,True,False,False
R0087,Gutierrez's American Bistro,Chinatown,American,1,4.4,cash-only|outdoor-seating|live-music|patio|quick-bites|family-friendly,43.688679,-79.508951,True,False,False
R0088,Moore's Ethiopian Kitchen,King West,Ethiopian,3,4.1,date-night|BYOB|delivery|quick-bites|dine-in,43.650397,-79.400732,True,True,False
R0089,Wells's West African Kitchen,North York,West African,3,3.6,live-music|vegetarian-friendly|delivery|late-night|takeout-only,43.702978,-79.426762,True,False,False
R0090,Johnson's Greek Bistro,Chinatown,Greek,3,4.2,vegan-friendly|delivery|live-music|takeout-only|quick-bites|date-night,43.671364,-79.375116,True,False,False
R0091,Parsons's Mexican Kitchen,Bloor West Village,Mexican,2,4.0,quick-bites|vegetarian-friendly|BYOB,43.792898,-79.359276,True,False,False
R0092,Mullen's Pizza Kitchen,Midtown,Pizza,2,4.5,trendy|romantic|takeout-only|group-friendly|BYOB|quick-bites,43.714,-79.328755,True,False,False
R0093,Merritt's Thai Corner,Queen West,Thai,2,3.5,live-music|vegan-friendly|romantic|outdoor-seating,43.708496,-79.52947,True,False,False
R0094,Holder's Portuguese Kitchen,Midtown,Portuguese,3,3.7,BYOB|patio|trendy|vegetarian-friendly|takeout-only|dine-in,43.662001,-79.370598,True,False,False
R0095,Wade's Thai Bar,Etobicoke,Thai,2,3.7,delivery|hidden-gem|takeout-only|patio,43.656987,-79.435601,True,False,False
R0096,Thomas's Indian Garden,Forest Hill,Indian,4,3.0,takeout-only|vegan-friendly|BYOB,43.741616,-79.286224,True,True,False
R0097,Smith's Filipino Bistro,Queen West,Filipino,2,4.1,BYOB|outdoor-seating|vegan-friendly|hidden-gem,43.725017,-79.359822,True,False,False
R0098,Sullivan's Thai Kitchen,Koreatown,Thai,2,4.1,vegetarian-friendly|outdoor-seating|group-friendly|romantic,43.799996,-79.496615,True,False,False
R0099,Scott's Chinese Bar,Cabbagetown,Chinese,2,3.9,trendy|patio|hidden-gem,43.747784,-79.365073,True,False,False
R0100,David's Greek Corner,Scarborough,Greek,3,3.8,family-friendly|dine-in|trendy|group-friendly|live-music,43.670659,-79.269633,False,False,False
R0101,Abbott's Chinese Kitchen,Roncesvalles,Chinese,3,3.1,group-friendly|vegetarian-friendly|outdoor-seating|romantic,43.638871,-79.405435,True,False,False
R0102,Liu's Greek Garden,Koreatown,Greek,2,3.6,hidden-gem|patio,43.76884,-79.292304,False,False,False
R0103,Martinez's Filipino Table,Cabbagetown,Filipino,3,3.7,BYOB|patio|live-music,43.7515,-79.446119,True,False,False
R0104,Waters's Korean Kitchen,Little Italy,Korean,2,3.4,group-friendly|outdoor-seating|hidden-gem,43.633231,-79.479617,True,True,False
R0105,Moore's French Garden,Parkdale,French,3,3.8,sports-bar|group-friendly|late-night|outdoor-seating|quick-bites,43.640677,-79.305727,True,False,False
R0106,Price's Caribbean Bar,Little Italy,Caribbean,2,4.1,group-friendly|outdoor-seating|romantic|late-night|delivery|hidden-gem,43.718992,-79.439031,True,False,False
R0107,Hayes's Japanese Grill,Koreatown,Japanese,3,5.0,takeout-only|BYOB|patio|dine-in|sports-bar|hidden-gem,43.7546,-79.364088,True,False,False
R0108,Potts's Portuguese Kitchen,Little Italy,Portuguese,2,4.0,live-music|family-friendly,43.751728,-79.275791,True,False,False
R0109,Harrison's Pizza Garden,Scarborough,Pizza,2,4.1,live-music|dine-in|patio,43.710478,-79.529746,True,False,False
R0110,Williams's Greek Kitchen,The Annex,Greek,3,3.9,dine-in|outdoor-seating|brunch|vegan-friendly|hidden-gem,43.687636,-79.487691,False,False,False
R0111,Vang's Japanese Garden,Financial District,Japanese,3,2.7,date-night|trendy|dine-in|romantic|patio,43.680259,-79.415144,True,False,False
R0112,Howell's Korean Kitchen,Financial District,Korean,1,3.9,late-night|BYOB|trendy,43.738377,-79.438273,True,False,False
R0113,Elliott's Vietnamese Table,Etobicoke,Vietnamese,2,3.9,dine-in|trendy|vegan-friendly|BYOB,43.656084,-79.414022,True,False,False
R0114,Dunn's Chinese Table,Junction,Chinese,2,5.0,brunch|trendy|family-friendly|live-music,43.695788,-79.382732,True,False,False
R0115,Reyes's Canadian Grill,Little Italy,Canadian,2,3.8,dine-in|vegan-friendly|group-friendly|live-music,43.767787,-79.269083,False,False,False
R0116,Harris's Italian Corner,Koreatown,Italian,3,4.1,quick-bites|cash-only|late-night,43.650632,-79.483725,False,False,False
R0117,Patterson's Japanese Bar,Queen West,Japanese,2,3.9,outdoor-seating|hidden-gem|romantic|vegan-friendly|BYOB,43.697687,-79.339259,True,False,False
R0118,Matthews's Portuguese Corner,Scarborough,Portuguese,2,3.2,hidden-gem|outdoor-seating|patio,43.738765,-79.48905,True,False,False
R0119,Porter's Mexican Corner,Junction,Mexican,2,4.6,family-friendly|group-friendly|brunch|BYOB,43.782137,-79.303139,True,False,False
R0120,Hill's Chinese Kitchen,Financial District,Chinese,2,4.4,romantic|patio|late-night|vegan-friendly,43.736161,-79.28744,True,False,False
R0121,Ayala's Italian Bar,Midtown,Italian,2,4.4,live-music|sports-bar|cash-only|quick-bites|delivery|BYOB,43.635149,-79.291081,True,False,False
R0122,Walker's Middle Eastern Garden,King West,Middle Eastern,2,3.4,delivery|BYOB|dine-in|outdoor-seating,43.776452,-79.450591,True,True,False
R0123,Fox's Korean Kitchen,The Annex,Korean,2,4.7,takeout-only|romantic|sports-bar,43.776908,-79.422922,False,False,False
R0124,Valentine's Thai Kitchen,Little Italy,Thai,2,3.1,family-friendly|romantic|dine-in,43.79069,-79.398476,True,False,False
R0125,Mann's Ethiopian Corner,Kensington Market,Ethiopian,2,4.3,dine-in|delivery|sports-bar|patio,43.774019,-79.41934,True,True,False
R0126,Smith's Greek Corner,Scarborough,Greek,4,5.0,vegetarian-friendly|BYOB|sports-bar|delivery|dine-in|outdoor-seating,43.677553,-79.263055,True,False,False
R0127,Garcia's Thai Corner,Distillery District,Thai,2,3.3,outdoor-seating|trendy|BYOB|sports-bar|group-friendly,43.636615,-79.340194,True,False,False
R0128,Elliott's Middle Eastern Kitchen,Junction,Middle Eastern,2,3.6,live-music|cash-only|late-night|dine-in|takeout-only|romantic,43.770809,-79.390945,True,False,False
R0129,Buckley's Caribbean Corner,Etobicoke,Caribbean,3,4.0,romantic|quick-bites|patio|cash-only|date-night|brunch,43.71068,-79.26922,True,False,False
R0130,Jackson's Vietnamese Grill,Waterfront,Vietnamese,2,3.6,hidden-gem|BYOB|sports-bar|family-friendly,43.648682,-79.534698,True,False,False
R0131,Munoz's Canadian Garden,Junction,Canadian,3,3.0,outdoor-seating|delivery|takeout-only|date-night|trendy,43.665248,-79.448986,True,False,False
R0132,Esparza's French Kitchen,Roncesvalles,French,4,3.9,brunch|group-friendly|live-music,43.733713,-79.486166,True,False,False
R0133,Barnes's Canadian Table,King West,Canadian,4,3.3,live-music|vegetarian-friendly|group-friendly|delivery,43.711567,-79.383063,False,False,False
R0134,Malone's Ethiopian Bar,Waterfront,Ethiopian,2,4.2,cash-only|family-friendly|romantic|brunch,43.643435,-79.281277,True,False,False
R0135,Smith's Korean Table,Thorncliffe Park,Korean,2,3.3,vegetarian-friendly|hidden-gem,43.720277,-79.361376,True,True,False
R0136,Leach's Filipino Grill,Leslieville,Filipino,1,4.8,cash-only|family-friendly|live-music|takeout-only|group-friendly,43.740992,-79.293419,True,False,False
R0137,Sosa's Filipino Kitchen,Greektown,Filipino,3,3.4,delivery|cash-only,43.70104,-79.305471,False,False,False
R0138,Mcgee's Mexican House,Etobicoke,Mexican,3,3.7,trendy|group-friendly|outdoor-seating|cash-only,43.648241,-79.264762,True,False,False
R0139,Morgan's Chinese Grill,Parkdale,Chinese,1,4.4,takeout-only|live-music,43.740209,-79.338793,True,False,False
R0140,Gonzales's Italian Bistro,King West,Italian,2,3.2,BYOB|cash-only|takeout-only,43.644745,-79.352608,True,False,False
R0141,Webster's Mexican Table,Bloor West Village,Mexican,3,4.0,quick-bites|patio|vegetarian-friendly|trendy,43.727389,-79.466765,False,False,False
R0142,Davidson's Canadian Corner,Midtown,Canadian,3,4.7,quick-bites|sports-bar|BYOB|cash-only|group-friendly|romantic,43.785742,-79.457389,False,False,False
R0143,Hanson's French Bistro,Cabbagetown,French,2,2.9,vegan-friendly|outdoor-seating|trendy|romantic|dine-in|patio,43.66713,-79.47071,True,False,False
R0144,Cobb's Chinese Table,King West,Chinese,3,4.0,romantic|cash-only|vegan-friendly,43.775263,-79.416285,True,False,False
R0145,Hendrix's Korean Bar,Parkdale,Korean,2,4.1,delivery|brunch,43.744371,-79.453713,True,False,False
R0146,Nunez's Vietnamese Bar,Distillery District,Vietnamese,2,4.4,patio|live-music|hidden-gem|date-night|BYOB,43.788879,-79.520675,True,False,False
R0147,Rivera's Taiwanese Kitchen,The Annex,Taiwanese,4,3.2,BYOB|dine-in|vegetarian-friendly|date-night|delivery|brunch,43.69386,-79.348836,False,False,False
R0148,Peterson's Greek Kitchen,Bloor West Village,Greek,2,3.1,quick-bites|trendy|dine-in,43.722556,-79.391059,False,False,False
R0149,Evans's Caribbean Kitchen,Etobicoke,Caribbean,2,4.2,quick-bites|family-friendly,43.760229,-79.292548,True,False,False
R0150,Young's Indian House,Distillery District,Indian,3,4.1,patio|BYOB|outdoor-seating,43.698385,-79.474385,False,True,False
R0151,Richard's Canadian Bar,King West,Canadian,4,4.1,quick-bites|hidden-gem|live-music|brunch|patio|outdoor-seating,43.670274,-79.294648,True,False,False
R0152,Walker's Pizza Grill,Midtown,Pizza,3,4.1,hidden-gem|sports-bar|BYOB|live-music,43.744128,-79.319975,True,False,False
R0153,Gomez's Chinese Kitchen,Parkdale,Chinese,2,3.5,group-friendly|outdoor-seating|BYOB|delivery|quick-bites,43.785506,-79.382532,True,False,False
R0154,Cisneros's Vietnamese Kitchen,Cabbagetown,Vietnamese,3,4.0,sports-bar|patio|vegan-friendly|family-friendly|outdoor-seating|quick-bites,43.662382,-79.464831,True,False,False
R0155,Phillips's Chinese Table,Bloor West Village,Chinese,2,4.1,quick-bites|family-friendly|delivery|sports-bar|takeout-only,43.649944,-79.26012,True,False,False
R0156,Mcpherson's Taiwanese Kitchen,Parkdale,Taiwanese,4,3.5,takeout-only|family-friendly|dine-in|sports-bar|hidden-gem,43.646763,-79.265231,True,True,False
R0157,Anderson's Vietnamese Bar,Bloor West Village,Vietnamese,2,5.0,quick-bites|delivery|sports-bar|cash-only,43.700988,-79.497325,False,False,False
R0158,Johnson's American Kitchen,Parkdale,American,4,4.2,BYOB|group-friendly|cash-only,43.6586,-79.317407,False,False,False
R0159,Wilson's Portuguese House,Little Italy,Portuguese,1,3.2,hidden-gem|BYOB,43.790682,-79.3529,True,False,False
R0160,Ford's Japanese Kitchen,Midtown,Japanese,3,4.3,cash-only|late-night|romantic|hidden-gem|group-friendly,43.743348,-79.367375,True,False,False
R0161,Pace's Canadian Kitchen,Leslieville,Canadian,2,3.3,vegetarian-friendly|outdoor-seating,43.767049,-79.285263,True,False,False
R0162,Gibbs's Italian Grill,Yorkville,Italian,3,4.4,quick-bites|live-music|vegan-friendly,43.793081,-79.411481,True,False,False
R0163,Brown's Thai Kitchen,Midtown,Thai,4,4.6,hidden-gem|takeout-only|vegetarian-friendly|outdoor-seating|patio,43.631607,-79.492013,True,False,False
R0164,Fitzpatrick's Filipino Kitchen,Financial District,Filipino,3,3.4,patio|date-night|takeout-only|late-night|family-friendly|live-music,43.787349,-79.288193,False,False,False
R0165,Rivera's Vietnamese Kitchen,North York,Vietnamese,1,4.5,takeout-only|delivery|BYOB|vegan-friendly|dine-in|late-night,43.771891,-79.431036,True,False,False
R0166,Gardner's Middle Eastern Kitchen,Danforth,Middle Eastern,3,4.1,cash-only|quick-bites|dine-in|delivery|hidden-gem,43.685484,-79.362446,True,False,False
R0167,Ayala's Indian Kitchen,Little Italy,Indian,1,4.4,delivery|takeout-only|dine-in,43.643946,-79.496818,True,True,False
R0168,Farrell's Chinese Kitchen,Greektown,Chinese,2,5.0,hidden-gem|vegetarian-friendly|late-night|vegan-friendly|dine-in|brunch,43.703267,-79.384044,True,False,False
R0169,Downs's Italian House,Little Italy,Italian,2,3.8,romantic|outdoor-seating|date-night,43.753223,-79.38333,True,False,False
R0170,Reed's Greek House,Leslieville,Greek,2,3.4,brunch|quick-bites|cash-only|family-friendly,43.680958,-79.320853,False,False,False
R0171,Daniel's Portuguese Kitchen,King West,Portuguese,2,3.4,BYOB|live-music|takeout-only|family-friendly|cash-only|date-night,43.704838,-79.419427,True,False,False
R0172,Garcia's Pizza Table,St. Lawrence Market,Pizza,4,3.4,dine-in|vegetarian-friendly|family-friendly|date-night|late-night,43.671212,-79.434705,True,False,False
R0173,Nicholson's Japanese Grill,Forest Hill,Japanese,3,3.9,BYOB|live-music|quick-bites|brunch|sports-bar,43.765262,-79.42544,True,False,False
R0174,Welch's Vietnamese Garden,Forest Hill,Vietnamese,1,4.1,group-friendly|vegan-friendly|vegetarian-friendly|quick-bites,43.747591,-79.387779,True,False,False
R0175,Johnston's Caribbean Kitchen,Danforth,Caribbean,2,4.1,late-night|vegetarian-friendly,43.686371,-79.317055,True,False,False
R0176,Phillips's Greek Bistro,The Annex,Greek,2,4.4,BYOB|dine-in|late-night|cash-only|vegetarian-friendly|sports-bar,43.708721,-79.349724,False,False,False
R0177,Mayer's Greek Garden,Little India,Greek,1,3.9,trendy|sports-bar,43.71859,-79.442476,True,True,False
R0178,York's Japanese Kitchen,St. Lawrence Market,Japanese,3,4.8,outdoor-seating|date-night|group-friendly,43.65794,-79.264508,False,False,False
R0179,Burns's Chinese Kitchen,Midtown,Chinese,2,3.7,family-friendly|trendy|hidden-gem|delivery|late-night|dine-in,43.741742,-79.429237,True,False,False
R0180,Wilson's French Corner,Scarborough,French,3,5.0,vegetarian-friendly|brunch|cash-only|outdoor-seating|takeout-only,43.661783,-79.448724,True,False,False
R0181,Bishop's Chinese House,Financial District,Chinese,2,4.3,romantic|vegan-friendly|BYOB|takeout-only|vegetarian-friendly|cash-only,43.750018,-79.456715,True,False,False
R0182,Young's Vietnamese Kitchen,Leslieville,Vietnamese,1,3.4,group-friendly|date-night|cash-only,43.661578,-79.36206,False,False,False
R0183,Becker's Pizza Table,Liberty Village,Pizza,2,3.3,outdoor-seating|cash-only|hidden-gem|romantic|group-friendly|dine-in,43.653211,-79.31174,True,False,False
R0184,Webb's Korean Garden,Koreatown,Korean,3,4.2,romantic|cash-only|group-friendly|outdoor-seating|vegetarian-friendly,43.721393,-79.492901,True,False,False
R0185,Rivera's Korean Kitchen,Bloor West Village,Korean,3,3.8,vegetarian-friendly|quick-bites|live-music|patio|trendy,43.705032,-79.478808,True,False,False
R0186,Rivers's Portuguese Grill,Little India,Portuguese,2,4.3,sports-bar|hidden-gem|date-night|BYOB,43.767819,-79.375381,True,False,False
