interaction_id,user_id,restaurant_id,interaction_type,rating,timestamp
I000089,U0360,R0244,viewed,,2024-10-06 04:30:00
I000090,U0075,R0110,viewed,,2024-11-03 12:03:00
I000091,U0243,R0110,rated,3.0,2025-01-23 21:27:00
I000092,U0043,R0073,viewed,,2024-06-01 22:28:00
I000093,U0343,R0133,viewed,,2024-08-07 10:48:00
I000094,U0153,R0085,rated,2.0,2024-09-03 15:34:00
I000095,U0288,R0102,saved,,2024-11-11 04:20:00
I000096,U0341,R0163,visited,,2024-09-12 10:07:00
I000097,U0406,R0209,saved,,2024-08-18 04:40:00
I000098,U0231,R0297,saved,,2024-04-06 13:44:00
I000099,U0111,R0179,viewed,,2024-12-13 18:00:00
I000100,U0190,R0187,visited,,2025-03-20 03:44:00
I000101,U0256,R0234,saved,,2025-02-28 17:27:00
I000102,U0268,R0172,viewed,,2024-08-07 11:11:00
I000103,U0413,R0054,viewed,,2024-07-29 03:31:00
I000104,U0384,R0279,viewed,,2024-10-24 01:42:00
I000105,U0149,R0216,visited,,2024-02-28 06:54:00
I000106,U0241,R0064,saved,,2024-08-25 13:58:00
I000107,U0421,R0203,saved,,2024-04-24 16:18:00
I000108,U0003,R0213,viewed,,2025-02-08 11:53:00
I000109,U0308,R0163,rated,5.0,2024-08-08 07:35:00
I000110,U0499,R0201,saved,,2025-02-28 01:51:00
I000111,U0478,R0296,rated,4.0,2024-07-18 23:11:00
I000112,U0224,R0119,rated,5.0,2024-09-15 03:40:00
I000113,U0082,R0166,viewed,,2024-08-11 00:40:00
I000114,U0395,R0079,saved,,2024-02-10 18:24:00
I000115,U0325,R0184,saved,,2024-04-23 09:12:00
I000116,U0414,R0194,visited,4.0,2024-03-14 20:01:00
I000117,U0063,R0055,viewed,,2024-04-02 02:04:00
I000118,U0107,R0201,saved,,2024-07-30 02:31:00
I000119,U0492,R0040,viewed,,2025-03-31 10:40:00
I000120,U0093,R0153,viewed,,2024-10-17 20:38:00
I000121,U0438,R0017,viewed,,2024-06-26 15:39:00
I000122,U0308,R0280,saved,,2024-05-10 03:12:00
I000123,U0111,R0187,viewed,,2024-06-16 04:14:00
I000124,U0043,R0065,viewed,,2024-02-17 11:45:00
I000125,U0283,R0151,visited,,2024-07-23 06:16:00
I000126,U0301,R0160,viewed,,2025-01-04 15:27:00
I000127,U0319,R0056,visited,,2024-07-10 20:52:00
I000128,U0033,R0231,viewed,,2024-09-18 08:37:00
I000129,U0450,R0272,viewed,,2024-04-02 10:27:00
I000130,U0405,R0096,viewed,,2024-12-02 11:23:00
I000131,U0075,R0161,saved,,2024-01-06 22:21:00
I000132,U0165,R0120,visited,,2024-09-26 06:06:00
I000133,U0102,R0101,visited,3.0,2024-05-20 13:07:00
I000134,U0064,R0232,viewed,,2024-07-15 07:36:00
I000135,U0011,R0146,saved,,2024-10-21 00:58:00
I000136,U0237,R0146,rated,4.0,2024-01-19 17:58:00
I000137,U0271,R0021,viewed,,2024-08-28 03:53:00
I000138,U0481,R0053,viewed,,2024-01-06 04:06:00
I000139,U0166,R0224,viewed,,2025-01-05 11:52:00
I000140,U0479,R0027,saved,,2024-02-26 01:19:00
I000141,U0039,R0136,visited,,2024-05-18 22:10:00
I000142,U0062,R0065,viewed,,2024-10-26 13:40:00
I000143,U0251,R0144,saved,,2024-04-25 02:16:00
I000144,U0039,R0254,viewed,,2024-04-20 14:52:00
I000145,U0198,R0097,viewed,,2025-02-20 18:48:00
I000146,U0390,R0160,visited,,2024-02-24 04:14:00
I000147,U0470,R0187,viewed,,2024-11-13 16:12:00
I000148,U0400,R0205,viewed,,2024-03-25 21:19:00
I000149,U0488,R0296,viewed,,2025-03-24 03:47:00
I000150,U0057,R0124,viewed,,2024-05-16 00:30:00
I000151,U0339,R0272,viewed,,2024-10-08 02:22:00
I000152,U0221,R0109,viewed,,2024-09-17 10:03:00
I000153,U0226,R0140,viewed,,2024-07-14 23:59:00
I000154,U0272,R0253,viewed,,2024-01-26 20:15:00
I000155,U0491,R0057,viewed,,2024-01-19 18:17:00
I000156,U0451,R0138,viewed,,2024-04-14 11:40:00
I000157,U0437,R0123,saved,,2024-03-26 05:21:00
I000158,U0461,R0234,viewed,,2024-08-30 13:21:00
I000159,U0452,R0040,saved,,2024-01-05 19:22:00
I000160,U0251,R0127,viewed,,2024-01-09 18:43:00
I000161,U0149,R0117,viewed,,2024-03-16 03:06:00
I000162,U0132,R0250,viewed,,2025-02-27 11:19:00
I000163,U0397,R0248,saved,,2025-01-07 20:01:00
I000164,U0338,R0073,viewed,,2024-10-22 23:44:00
I000165,U0499,R0221,rated,5.0,2024-04-09 12:40:00
I000166,U0231,R0270,visited,3.0,2024-06-18 12:37:00
I000167,U0214,R0142,viewed,,2024-09-23 22:21:00
I000168,U0497,R0005,saved,,2024-08-26 21:09:00
I000169,U0341,R0084,viewed,,2025-02-13 09:00:00
I000170,U0233,R0021,visited,5.0,2024-09-07 09:00:00
I000171,U0221,R0181,viewed,,2024-05-08 04:22:00
I000172,U0450,R0146,visited,,2024-10-14 04:05:00
I000173,U0366,R0139,saved,,2024-08-09 18:58:00
I000174,U0042,R0149,viewed,,2024-06-30 07:51:00
I000175,U0348,R0198,rated,4.0,2024-02-20 08:58:00
I000176,U0155,R0160,viewed,,2025-03-24 10:51:00
I000177,U0103,R0129,saved,,2024-06-03 09:05:00
I000178,U0237,R0280,saved,,2025-03-02 13:06:00
I000179,U0365,R0184,visited,,2024-07-29 14:01:00
I000180,U0468,R0287,saved,,2024-02-15 04:39:00
I000181,U0298,R0263,saved,,2024-10-16 09:03:00
I000182,U0387,R0202,saved,,2024-08-24 16:29:00
I000183,U0430,R0028,viewed,,2024-11-28 03:21:00
I000184,U0443,R0032,saved,,2024-09-18 23:45:00
I000185,U0028,R0105,visited,,2024-03-10 07:57:00
I000186,U0346,R0080,viewed,,2024-01-04 15:39:00
I000187,U0353,R0103,viewed,,2024-11-05 03:33:00
I000188,U0050,R0127,viewed,,2025-03-02 16:28:00
I000189,U0316,R0064,saved,,2024-04-04 04:52:00
I000190,U0382,R0124,rated,2.0,2024-10-06 06:30:00
I000191,U0246,R0149,viewed,,2024-10-28 15:23:00
I000192,U0342,R0141,visited,4.0,2024-08-01 13:09:00
I000193,U0015,R0146,saved,,2024-01-06 18:19:00
I000194,U0018,R0228,visited,,2024-08-27 23:29:00
I000195,U0258,R0108,rated,4.0,2024-07-18 16:04:00
I000196,U0369,R0289,visited,,2024-05-22 21:19:00
I000197,U0473,R0202,visited,,2024-08-29 19:42:00
I000198,U0425,R0207,viewed,,2025-01-10 05:14:00
I000199,U0050,R0055,saved,,2024-06-14 07:49:00
I000200,U0414,R0122,visited,,2024-07-15 13:59:00
I000201,U0294,R0285,viewed,,2024-08-12 21:18:00
I000202,U0116,R0104,visited,,2025-02-08 06:05:00
I000203,U0343,R0050,visited,,2024-07-03 13:36:00
I000204,U0280,R0037,saved,,2025-01-07 20:33:00
I000205,U0411,R0035,visited,,2024-10-18 02:08:00
I000206,U0401,R0265,viewed,,2024-04-28 01:38:00
I000207,U0277,R0170,visited,3.0,2025-02-28 08:24:00
I000208,U0361,R0184,visited,,2024-02-08 17:36:00
I000209,U0257,R0160,viewed,,2024-12-23 03:37:00
I000210,U0017,R0174,viewed,,2025-03-30 01:08:00
I000211,U0169,R0032,viewed,,2024-10-15 19:44:00
I000212,U0428,R0019,viewed,,2024-08-01 19:47:00
I000213,U0022,R0054,visited,,2024-08-08 15:19:00
I000214,U0401,R0117,viewed,,2025-01-31 06:34:00
I000215,U0027,R0199,visited,,2024-08-06 17:08:00
I000216,U0060,R0225,saved,,2024-07-07 11:12:00
I000217,U0122,R0119,viewed,,2024-07-30 23:48:00
I000218,U0128,R0030,viewed,,2024-04-02 09:02:00
I000219,U0067,R0204,viewed,,2024-02-09 02:16:00
I000220,U0481,R0279,saved,,2025-02-20 11:57:00
I000221,U0469,R0113,viewed,,2024-07-06 17:18:00
I000222,U0137,R0164,visited,3.0,2024-07-29 22:39:00
I000223,U0249,R0144,rated,4.0,2025-03-06 16:14:00
I000224,U0157,R0284,visited,,2024-03-13 01:15:00
I000225,U0233,R0059,visited,4.0,2024-10-28 12:19:00
I000226,U0424,R0044,rated,3.0,2024-07-15 15:01:00
I000227,U0023,R0115,viewed,,2024-08-08 17:03:00
I000228,U0339,R0157,saved,,2024-01-14 19:48:00
I000229,U0481,R0274,saved,,2024-10-17 16:16:00
I000230,U0474,R0122,viewed,,2025-02-13 21:17:00
I000231,U0020,R0141,saved,,2025-02-04 20:51:00
I000232,U0396,R0007,saved,,2024-06-13 08:54:00
I000233,U0092,R0228,viewed,,2024-08-26 01:22:00
I000234,U0246,R0285,viewed,,2024-02-10 08:57:00
I000235,U0313,R0283,viewed,,2024-04-02 08:49:00
I000236,U0403,R0142,viewed,,2024-04-26 20:11:00
I000237,U0076,R0026,saved,,2024-04-04 21:32:00
I000238,U0441,R0226,viewed,,2025-01-02 07:03:00
I000239,U0023,R0121,viewed,,2024-08-15 03:32:00
I000240,U0040,R0122,saved,,2025-02-28 21:26:00
I000241,U0074,R0013,saved,,2024-06-20 13:57:00
I000242,U0334,R0192,rated,4.0,2024-11-14 00:10:00
I000243,U0189,R0023,viewed,,2024-10-29 00:06:00
I000244,U0194,R0299,saved,,2024-07-14 20:05:00
I000245,U0271,R0027,visited,,2024-06-11 08:12:00
I000246,U0429,R0295,viewed,,2024-05-04 11:14:00
I000247,U0060,R0124,rated,3.0,2024-07-28 11:05:00
I000248,U0310,R0118,viewed,,2024-10-18 04:59:00
I000249,U0175,R0161,saved,,2024-09-15 04:36:00
I000250,U0449,R0233,viewed,,2024-05-14 17:45:00
I000251,U0182,R0066,saved,,2024-12-30 09:07:00
I000252,U0024,R0038,visited,,2024-07-28 20:28:00
I000253,U0380,R0224,viewed,,2024-03-09 23:11:00
I000254,U0371,R0261,rated,2.0,2024-10-30 18:23:00
I000255,U0346,R0233,viewed,,2024-09-17 23:37:00
I000256,U0144,R0050,viewed,,2024-01-25 18:33:00
I000257,U0433,R0219,viewed,,2025-01-22 05:09:00
I000258,U0022,R0108,viewed,,2025-03-26 19:20:00
I000259,U0051,R0178,viewed,,2024-05-20 15:28:00
I000260,U0115,R0087,visited,,2025-01-20 03:59:00
I000261,U0119,R0143,viewed,,2025-03-05 16:48:00
I000262,U0100,R0004,visited,4.0,2024-05-24 18:27:00
I000263,U0057,R0062,saved,,2024-05-14 02:55:00
I000264,U0263,R0038,saved,,2024-01-20 13:06:00
I000265,U0450,R0019,visited,3.0,2024-10-27 12:55:00
I000266,U0136,R0241,visited,,2024-05-24 04:12:00
I000267,U0439,R0110,viewed,,2024-10-12 19:13:00
I000268,U0364,R0092,visited,,2024-11-19 18:15:00
I000269,U0327,R0179,saved,,2024-04-02 09:53:00
I000270,U0119,R0150,saved,,2024-11-18 12:38:00
I000271,U0183,R0279,viewed,,2024-02-27 09:26:00
I000272,U0497,R0229,saved,,2024-02-29 05:29:00
I000273,U0352,R0121,viewed,,2024-04-20 13:03:00
I000274,U0288,R0166,saved,,2024-07-19 14:27:00
I000275,U0138,R0249,saved,,2025-02-23 01:19:00
I000276,U0230,R0210,rated,5.0,2024-10-01 06:49:00
I000277,U0315,R0169,visited,,2024-01-11 12:05:00
I000278,U0393,R0284,viewed,,2024-04-17 11:34:00
I000279,U0203,R0118,saved,,2024-07-10 10:26:00
I000280,U0482,R0007,viewed,,2024-09-26 03:32:00
I000281,U0204,R0249,viewed,,2024-01-13 07:40:00
I000282,U0396,R0127,saved,,2025-02-20 12:41:00
I000283,U0361,R0213,saved,,2024-10-04 19:58:00
I000284,U0406,R0201,saved,,2024-06-08 10:27:00
I000285,U0235,R0104,rated,4.0,2024-10-22 15:24:00
I000286,U0150,R0220,rated,5.0,2024-10-14 08:30:00
I000287,U0056,R0160,visited,,2024-02-18 17:10:00
I000288,U0043,R0073,visited,,2025-03-05 18:48:00
I000289,U0120,R0031,saved,,2024-06-08 23:21:00
I000290,U0428,R0078,saved,,2024-11-02 13:55:00
I000291,U0280,R0256,saved,,2024-06-13 14:45:00
I000292,U0218,R0040,saved,,2024-03-23 16:47:00
I000293,U0063,R0086,visited,4.0,2025-03-29 13:31:00
I000294,U0088,R0269,saved,,2024-10-07 13:25:00
I000295,U0005,R0152,rated,4.0,2025-01-03 21:17:00
I000296,U0191,R0289,viewed,,2024-09-24 21:13:00
I000297,U0412,R0191,saved,,2024-08-24 06:59:00
I000298,U0170,R0070,rated,3.0,2024-08-30 00:20:00
I000299,U0214,R0092,viewed,,2024-01-03 09:44:00
I000300,U0276,R0235,viewed,,2024-08-27 19:10:00
I000301,U0453,R0116,viewed,,2024-04-08 08:18:00
I000302,U0157,R0189,visited,3.0,2024-10-04 20:42:00
I000303,U0053,R0111,viewed,,2024-02-22 04:51:00
I000304,U0268,R0197,saved,,2024-10-30 19:17:00
I000305,U0495,R0243,viewed,,2024-04-28 06:05:00
I000306,U0476,R0076,visited,4.0,2024-02-09 01:08:00
I000307,U0262,R0226,viewed,,2024-06-03 16:48:00
I000308,U0194,R0198,visited,,2024-06-11 16:05:00
I000309,U0431,R0224,visited,,2024-12-16 03:35:00
I000310,U0178,R0218,saved,,2024-04-07 12:23:00
I000311,U0092,R0006,viewed,,2024-04-09 00:37:00
I000312,U0159,R0169,viewed,,2024-05-09 16:58:00
I000313,U0007,R0140,viewed,,2024-09-02 12:02:00
I000314,U0357,R0130,viewed,,2024-10-19 00:55:00
I000315,U0324,R0233,viewed,,2025-03-23 20:48:00
I000316,U0280,R0054,viewed,,2024-12-31 04:45:00
I000317,U0434,R0062,saved,,2024-02-01 10:06:00
I000318,U0440,R0279,visited,,2025-01-12 00:21:00
I000319,U0342,R0032,rated,5.0,2024-09-13 04:46:00
I000320,U0137,R0043,viewed,,2024-11-07 06:44:00
I000321,U0259,R0210,saved,,2025-03-04 00:19:00
I000322,U0141,R0288,viewed,,2024-10-17 22:05:00
I000323,U0290,R0238,visited,4.0,2024-02-14 05:20:00
I000324,U0404,R0006,visited,3.0,2025-01-05 07:19:00
I000325,U0072,R0290,viewed,,2024-04-06 08:56:00
I000326,U0133,R0226,viewed,,2024-10-23 11:22:00
I000327,U0324,R0088,visited,5.0,2024-10-02 18:13:00
I000328,U0360,R0223,visited,,2024-04-16 10:44:00
I000329,U0381,R0138,saved,,2024-05-12 06:29:00
I000330,U0240,R0166,viewed,,2024-10-28 01:20:00
I000331,U0360,R0054,rated,5.0,2024-01-05 05:26:00
I000332,U0463,R0052,viewed,,2024-03-24 14:34:00
I000333,U0096,R0012,saved,,2024-10-30 18:44:00
I000334,U0308,R0173,viewed,,2024-01-21 07:48:00
I000335,U0479,R0260,visited,4.0,2024-10-22 12:37:00
I000336,U0495,R0269,rated,4.0,2025-01-19 04:08:00
I000337,U0235,R0203,viewed,,2024-03-16 06:56:00
I000338,U0089,R0155,viewed,,2025-03-15 06:27:00
I000339,U0047,R0126,saved,,2025-02-01 11:00:00
I000340,U0245,R0082,visited,,2024-12-23 06:58:00
I000341,U0050,R0199,saved,,2024-03-09 12:49:00
I000342,U0374,R0218,visited,4.0,2024-12-08 23:37:00
I000343,U0092,R0121,viewed,,2025-02-25 00:39:00
I000344,U0331,R0118,viewed,,2024-04-18 09:27:00
I000345,U0093,R0218,viewed,,2024-12-11 15:02:00
I000346,U0134,R0216,viewed,,2024-09-21 03:29:00
I000347,U0413,R0043,saved,,2024-12-01 12:51:00
I000348,U0414,R0007,viewed,,2024-09-16 12:43:00
I000349,U0411,R0231,rated,3.0,2024-12-30 10:54:00
I000350,U0274,R0187,viewed,,2024-08-05 17:48:00
I000351,U0197,R0041,saved,,2024-12-28 18:16:00
I000352,U0238,R0145,visited,,2024-01-26 19:43:00
I000353,U0190,R0130,saved,,2025-01-27 00:34:00
I000354,U0137,R0092,viewed,,2024-08-16 10:19:00
I000355,U0326,R0019,saved,,2024-01-19 17:47:00
I000356,U0203,R0128,viewed,,2024-03-05 23:09:00
I000357,U0325,R0253,viewed,,2024-08-22 22:39:00
I000358,U0125,R0269,viewed,,2024-06-16 11:02:00
I000359,U0372,R0041,saved,,2024-06-03 13:25:00
I000360,U0316,R0264,rated,3.0,2024-12-21 01:23:00
I000361,U0294,R0243,visited,4.0,2024-12-18 05:17:00
I000362,U0140,R0003,viewed,,2024-07-31 21:08:00
I000363,U0141,R0137,visited,,2024-02-19 07:14:00
I000364,U0010,R0167,saved,,2025-01-07 22:38:00
I000365,U0424,R0236,visited,4.0,2024-07-18 15:59:00
I000366,U0286,R0007,saved,,2025-02-25 14:09:00
I000367,U0131,R0207,visited,,2024-11-19 15:35:00
I000368,U0177,R0043,rated,3.0,2024-07-08 09:18:00
I000369,U0385,R0162,viewed,,2024-03-20 19:37:00
I000370,U0436,R0064,viewed,,2024-02-26 18:18:00
I000371,U0181,R0112,saved,,2024-06-12 11:40:00
I000372,U0273,R0201,viewed,,2025-01-22 14:18:00
I000373,U0423,R0231,visited,,2024-01-02 17:53:00
I000374,U0172,R0238,visited,4.0,2024-10-24 20:26:00
I000375,U0499,R0215,visited,,2024-03-11 19:39:00
I000376,U0258,R0042,rated,4.0,2024-01-12 10:39:00
I000377,U0448,R0123,visited,,2024-06-14 04:18:00
I000378,U0034,R0016,viewed,,2024-05-05 21:38:00
I000379,U0466,R0082,saved,,2024-02-05 00:47:00
I000380,U0241,R0198,viewed,,2024-05-13 22:34:00
I000381,U0425,R0021,visited,,2024-11-28 14:27:00
I000382,U0404,R0064,visited,,2024-10-23 03:46:00
I000383,U0087,R0188,viewed,,2024-05-04 15:13:00
I000384,U0136,R0050,visited,,2024-12-29 15:48:00
I000385,U0126,R0134,saved,,2024-06-18 14:44:00
I000386,U0133,R0291,viewed,,2024-03-12 04:33:00
I000387,U0148,R0014,viewed,,2024-07-04 22:18:00
I000388,U0345,R0151,visited,5.0,2024-11-07 09:54:00
I000389,U0197,R0132,viewed,,2024-04-18 18:19:00
I000390,U0076,R0300,viewed,,2024-09-17 23:55:00
I000391,U0446,R0269,saved,,2024-07-13 00:42:00
I000392,U0485,R0034,viewed,,2024-04-24 04:17:00
I000393,U0380,R0104,viewed,,2024-11-16 03:21:00
I000394,U0127,R0126,saved,,2024-12-19 20:54:00
I000395,U0234,R0091,saved,,2024-10-09 08:05:00
I000396,U0107,R0117,rated,5.0,2024-09-01 14:06:00
I000397,U0275,R0027,saved,,2024-04-10 15:07:00
I000398,U0227,R0043,viewed,,2024-10-28 06:38:00
I000399,U0129,R0209,visited,5.0,2024-09-16 15:32:00
I000400,U0146,R0154,viewed,,2024-06-23 08:43:00
I000401,U0288,R0258,viewed,,2025-01-22 05:31:00
I000402,U0345,R0156,visited,3.0,2024-12-17 17:52:00
I000403,U0094,R0100,rated,4.0,2024-04-19 09:32:00
I000404,U0157,R0164,visited,,2024-11-08 06:36:00
I000405,U0345,R0080,viewed,,2024-07-21 05:54:00
I000406,U0081,R0081,viewed,,2024-08-30 20:38:00
I000407,U0157,R0171,rated,4.0,2024-06-10 14:19:00
I000408,U0393,R0141,saved,,2024-04-16 21:45:00
I000409,U0013,R0165,visited,,2025-01-13 06:51:00
I000410,U0141,R0055,viewed,,2025-01-05 15:46:00
I000411,U0485,R0024,visited,,2024-12-27 15:15:00
I000412,U0144,R0193,viewed,,2024-06-24 08:34:00
I000413,U0057,R0242,saved,,2024-06-15 23:26:00
I000414,U0288,R0046,saved,,2024-10-06 21:16:00
I000415,U0354,R0012,saved,,2025-03-21 22:45:00
I000416,U0110,R0095,viewed,,2024-07-04 10:12:00
I000417,U0347,R0133,visited,5.0,2024-03-02 20:26:00
I000418,U0031,R0263,saved,,2024-01-17 16:55:00
I000419,U0379,R0078,viewed,,2024-11-27 18:21:00
I000420,U0206,R0295,visited,3.0,2024-01-05 07:20:00
I000421,U0219,R0078,viewed,,2024-12-11 10:34:00
I000422,U0367,R0296,saved,,2024-04-15 09:11:00
I000423,U0337,R0107,viewed,,2024-05-18 07:59:00
I000424,U0484,R0226,rated,4.0,2024-01-14 14:55:00
I000425,U0381,R0107,viewed,,2024-07-23 06:13:00
I000426,U0395,R0195,viewed,,2024-03-30 16:58:00
I000427,U0297,R0265,saved,,2024-03-02 15:47:00
I000428,U0163,R0213,rated,4.0,2025-02-13 16:23:00
I000429,U0484,R0234,viewed,,2024-08-03 12:54:00
I000430,U0159,R0034,rated,2.0,2024-06-02 07:44:00
I000431,U0460,R0166,visited,4.0,2024-01-05 04:33:00
I000432,U0391,R0020,visited,,2024-12-04 09:23:00
I000433,U0215,R0089,viewed,,2024-03-18 23:51:00
I000434,U0415,R0093,visited,,2024-01-16 15:13:00
I000435,U0015,R0014,visited,2.0,2025-03-22 04:58:00
I000436,U0391,R0269,viewed,,2024-06-27 07:05:00
I000437,U0215,R0034,saved,,2024-07-31 17:28:00
I000438,U0069,R0001,visited,,2024-03-06 10:42:00
I000439,U0384,R0293,viewed,,2024-03-07 04:14:00
I000440,U0368,R0207,saved,,2024-05-07 07:16:00
I000441,U0095,R0155,rated,4.0,2024-12-08 18:33:00
I000442,U0137,R0068,viewed,,2024-03-15 18:47:00
I000443,U0428,R0122,viewed,,2024-10-19 15:30:00
I000444,U0440,R0177,rated,4.0,2024-10-22 12:28:00
I000445,U0280,R0226,viewed,,2025-01-28 16:59:00
I000446,U0096,R0131,visited,,2024-08-21 21:06:00
I000447,U0065,R0049,visited,5.0,2024-10-08 22:18:00
I000448,U0043,R0259,visited,,2024-09-18 06:09:00
I000449,U0272,R0269,viewed,,2024-10-03 07:44:00
I000450,U0485,R0272,viewed,,2024-12-14 05:40:00
I000451,U0486,R0206,visited,,2024-08-31 14:20:00
I000452,U0070,R0154,viewed,,2024-10-11 21:19:00
I000453,U0211,R0072,visited,,2025-02-17 07:25:00
I000454,U0201,R0100,visited,5.0,2024-05-21 04:57:00
I000455,U0300,R0078,viewed,,2024-05-21 10:00:00
I000456,U0278,R0233,visited,,2025-01-03 10:56:00
I000457,U0457,R0131,viewed,,2024-10-26 05:56:00
I000458,U0116,R0268,rated,3.0,2024-11-04 19:55:00
I000459,U0328,R0261,saved,,2024-05-08 11:05:00
I000460,U0249,R0125,saved,,2024-08-10 21:17:00
I000461,U0266,R0196,viewed,,2025-03-05 20:06:00
I000462,U0295,R0049,saved,,2024-07-03 18:43:00
I000463,U0294,R0268,viewed,,2025-02-16 20:47:00
I000464,U0013,R0169,visited,,2025-01-08 14:54:00
